--- Simulation details ---

Horizon 1, [<17, [1, 2]>, 1], q_old: 0.12, q_new: 0.12, gain: 0.0000, need: 0.0414, evb: 0.00000
Horizon 1, [<17, [1, 2]>, 2], q_old: 0.17, q_new: 0.17, gain: 0.0000, need: 0.0414, evb: 0.00000
Horizon 0, [<0, [1, 1]>, 1], q_old: 0.38, q_new: 0.38, gain: 0.0000, need: 0.1546, evb: 0.00000
Horizon 0, [<0, [1, 1]>, 3], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.1546, evb: 0.00000
Horizon 0, [<1, [1, 1]>, 1], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.1496, evb: 0.00000
Horizon 0, [<1, [1, 1]>, 2], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.1496, evb: 0.00000
Horizon 0, [<1, [1, 1]>, 3], q_old: 0.61, q_new: 0.61, gain: 0.0000, need: 0.1496, evb: 0.00000
Horizon 0, [<2, [1, 1]>, 1], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.1118, evb: 0.00000
Horizon 0, [<2, [1, 1]>, 2], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.1118, evb: 0.00000
Horizon 0, [<2, [1, 1]>, 3], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.1118, evb: 0.00000
Horizon 0, [<3, [1, 1]>, 1], q_old: 0.00, q_new: 0.61, gain: -0.0490, need: 0.0797, evb: -0.00391
Horizon 0, [<3, [1, 1]>, 2], q_old: 0.00, q_new: 0.61, gain: -0.0490, need: 0.0797, evb: -0.00391
Horizon 0, [<3, [1, 1]>, 3], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.0797, evb: 0.00000
Horizon 0, [<4, [1, 1]>, 1], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.0721, evb: 0.00000
Horizon 0, [<4, [1, 1]>, 2], q_old: 0.00, q_new: 0.72, gain: -0.0358, need: 0.0721, evb: -0.00258
Horizon 0, [<4, [1, 1]>, 3], q_old: 1.00, q_new: 1.00, gain: 0.0000, need: 0.0721, evb: 0.00000
Horizon 0, [<6, [1, 1]>, 0], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.3829, evb: 0.00000
Horizon 0, [<6, [1, 1]>, 1], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 0.3829, evb: 0.00000
Horizon 0, [<6, [1, 1]>, 3], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.3829, evb: 0.00000
Horizon 0, [<7, [1, 1]>, 0], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.1606, evb: 0.00000
Horizon 0, [<7, [1, 1]>, 2], q_old: 0.38, q_new: 0.38, gain: 0.0000, need: 0.1606, evb: 0.00000
Horizon 0, [<7, [1, 1]>, 3], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.1606, evb: 0.00000
Horizon 0, [<8, [1, 1]>, 0], q_old: 0.61, q_new: 0.61, gain: 0.0000, need: 0.0776, evb: 0.00000
Horizon 0, [<8, [1, 1]>, 2], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.0776, evb: 0.00000
Horizon 0, [<8, [1, 1]>, 3], q_old: 0.61, q_new: 0.61, gain: 0.0000, need: 0.0776, evb: 0.00000
Horizon 0, [<9, [1, 1]>, 0], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.0294, evb: 0.00000
Horizon 0, [<9, [1, 1]>, 2], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.0294, evb: 0.00000
Horizon 0, [<9, [1, 1]>, 3], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.0294, evb: 0.00000
Horizon 0, [<10, [1, 1]>, 0], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.0222, evb: 0.00000
Horizon 0, [<10, [1, 1]>, 2], q_old: 0.00, q_new: 0.61, gain: -0.0298, need: 0.0222, evb: -0.00066
Horizon 0, [<10, [1, 1]>, 3], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.0222, evb: 0.00000
Horizon 0, [<11, [1, 1]>, 0], q_old: 1.00, q_new: 1.00, gain: 0.0000, need: 0.0193, evb: 0.00000
Horizon 0, [<11, [1, 1]>, 2], q_old: 0.00, q_new: 0.72, gain: -0.0536, need: 0.0193, evb: -0.00104
Horizon 0, [<12, [1, 1]>, 0], q_old: 0.38, q_new: 0.38, gain: 0.0000, need: 0.8303, evb: 0.00000
Horizon 0, [<12, [1, 1]>, 1], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.8303, evb: 0.00000
Horizon 0, [<12, [1, 1]>, 3], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.8303, evb: 0.00000
Horizon 0, [<13, [1, 1]>, 1], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 1.6101, evb: 0.00000
Horizon 0, [<13, [1, 1]>, 2], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 1.6101, evb: 0.00000
Horizon 0, [<13, [1, 1]>, 3], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 1.6101, evb: 0.00000
Horizon 0, [<14, [1, 1]>, 1], q_old: 0.20, q_new: 0.20, gain: 0.0000, need: 0.5745, evb: 0.00000
Horizon 0, [<14, [1, 1]>, 2], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.5745, evb: 0.00000
Horizon 0, [<14, [1, 1]>, 3], q_old: 0.20, q_new: 0.20, gain: 0.0000, need: 0.5745, evb: 0.00000
Horizon 0, [<15, [1, 1]>, 1], q_old: 0.17, q_new: 0.17, gain: 0.0000, need: 0.1989, evb: 0.00000
Horizon 0, [<15, [1, 1]>, 2], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 0.1989, evb: 0.00000
Horizon 0, [<15, [1, 1]>, 3], q_old: 0.17, q_new: 0.17, gain: 0.0000, need: 0.1989, evb: 0.00000
Horizon 0, [<16, [1, 1]>, 1], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.0802, evb: 0.00000
Horizon 0, [<16, [1, 1]>, 2], q_old: 0.20, q_new: 0.20, gain: 0.0000, need: 0.0802, evb: 0.00000
Horizon 0, [<16, [1, 1]>, 3], q_old: 0.14, q_new: 0.36, gain: 0.0492, need: 0.0802, evb: 0.00395
Horizon 0, [<17, [1, 1]>, 0], q_old: 0.42, q_new: 0.42, gain: 0.0000, need: 0.0414, evb: 0.00000
Horizon 0, [<17, [1, 1]>, 1], q_old: 0.12, q_new: 0.12, gain: 0.0000, need: 0.0414, evb: 0.00000
Horizon 0, [<17, [1, 1]>, 2], q_old: 0.17, q_new: 0.17, gain: 0.0000, need: 0.0414, evb: 0.00000
Horizon 0, [<18, [1, 1]>, 0], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 0.3444, evb: 0.00000
Horizon 0, [<18, [1, 1]>, 3], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 0.3444, evb: 0.00000
Horizon 0, [<19, [1, 1]>, 0], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.5805, evb: 0.00000
Horizon 0, [<19, [1, 1]>, 2], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.5805, evb: 0.00000
Horizon 0, [<19, [1, 1]>, 3], q_old: 0.20, q_new: 0.20, gain: 0.0000, need: 0.5805, evb: 0.00000
Horizon 0, [<20, [1, 1]>, 0], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 0.3519, evb: 0.00000
Horizon 0, [<20, [1, 1]>, 2], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 0.3519, evb: 0.00000
Horizon 0, [<20, [1, 1]>, 3], q_old: 0.17, q_new: 0.17, gain: 0.0000, need: 0.3519, evb: 0.00000
Horizon 0, [<21, [1, 1]>, 0], q_old: 0.20, q_new: 0.20, gain: 0.0000, need: 0.1358, evb: 0.00000
Horizon 0, [<21, [1, 1]>, 2], q_old: 0.20, q_new: 0.20, gain: 0.0000, need: 0.1358, evb: 0.00000
Horizon 0, [<21, [1, 1]>, 3], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.1358, evb: 0.00000
Horizon 0, [<22, [1, 1]>, 0], q_old: 0.17, q_new: 0.17, gain: 0.0000, need: 0.0555, evb: 0.00000
