--- Simulation details ---

Horizon 0, [<35, [1, 1]>, 0], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 0.0207, evb: 0.00000

Replay [<20, [1, 1]>, 0] horizon 0, belief , q_old: 0.00, q_new: 0.36, evb: 0.06625

Horizon 2, [<8, [2, 1]>, 0], q_old: 1.00, q_new: 1.00, gain: 0.0000, need: 0.3537, evb: 0.00000
Horizon 2, [<8, [2, 1]>, 1], q_old: 0.00, q_new: 0.72, gain: -0.0268, need: 0.3537, evb: -0.00949
Horizon 2, [<8, [2, 1]>, 3], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.3537, evb: 0.00000
Horizon 2, [<20, [2, 1]>, 0], q_old: 0.48, q_new: 0.48, gain: 0.0000, need: 1.8852, evb: 0.00000
Horizon 2, [<20, [2, 1]>, 1], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 1.8852, evb: 0.00000
Horizon 2, [<13, [2, 1]>, 2], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.0512, evb: 0.00000
Horizon 2, [<13, [2, 1]>, 3], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.0512, evb: 0.00000
Horizon 2, [<14, [2, 2]>, 0], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.4042, evb: 0.00000
Horizon 2, [<14, [2, 2]>, 1], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 0.4042, evb: 0.00000
Horizon 2, [<14, [2, 2]>, 2], q_old: 0.00, q_new: 0.61, gain: -0.0357, need: 0.4042, evb: -0.01442
Horizon 2, [<20, [1, 3]>, 0], q_old: 0.00, q_new: 0.18, gain: -0.0198, need: 1.8852, evb: -0.03728
Horizon 2, [<20, [1, 3]>, 1], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 1.8852, evb: 0.00000
Horizon 2, [<26, [1, 2]>, 0], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 1.1555, evb: 0.00000
Horizon 2, [<26, [1, 2]>, 1], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 1.1555, evb: 0.00000
Horizon 2, [<26, [1, 2]>, 2], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 1.1555, evb: 0.00000
Horizon 2, [<26, [1, 2]>, 3], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 1.1555, evb: 0.00000
Horizon 1, [<14, [2, 1]>, 0], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.4042, evb: 0.00000
Horizon 1, [<14, [2, 1]>, 1], q_old: 0.23, q_new: 0.41, gain: -0.0134, need: 0.4042, evb: -0.00544
Horizon 1, [<14, [2, 1]>, 2], q_old: 0.00, q_new: 0.61, gain: -0.0357, need: 0.4042, evb: -0.01442
Horizon 1, [<20, [1, 2]>, 0], q_old: 0.00, q_new: 0.24, gain: -0.0100, need: 1.8852, evb: -0.01883
Horizon 1, [<20, [1, 2]>, 1], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 1.8852, evb: 0.00000
Horizon 0, [<8, [1, 1]>, 0], q_old: 1.00, q_new: 1.00, gain: 0.0000, need: 0.3537, evb: 0.00000
Horizon 0, [<8, [1, 1]>, 1], q_old: 0.00, q_new: 0.72, gain: -0.0268, need: 0.3537, evb: -0.00949
Horizon 0, [<8, [1, 1]>, 3], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.3537, evb: 0.00000
Horizon 0, [<9, [1, 1]>, 2], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.0345, evb: 0.00000
Horizon 0, [<9, [1, 1]>, 3], q_old: 0.00, q_new: 0.61, gain: -0.0374, need: 0.0345, evb: -0.00129
Horizon 0, [<10, [1, 1]>, 2], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.0075, evb: 0.00000
Horizon 0, [<10, [1, 1]>, 3], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.0075, evb: 0.00000
Horizon 0, [<11, [1, 1]>, 1], q_old: 0.00, q_new: 0.44, gain: -0.0374, need: 0.0088, evb: -0.00033
